id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
123,Columbia River Bank,The Dalles,Oregon,1264118400000,20100122,Columbia State Bank,1100,186,1357420806903,1357421010449,1,-121.18343,45.60155,"{""type"":""Point"",""coordinates"":[-121.18343,45.60155]}"
124,Appalachian Community Bank,Ellijay,Georgia,1268956800000,20100319,Community and Southern Bank,1010,187,1357420806903,1357421011131,1,-84.4829,34.69451,"{""type"":""Point"",""coordinates"":[-84.4829,34.69451]}"
125,Florida Community Bank,Immokalee,Florida,1264723200000,20100129,"Premier American Bank, N.A.",876,189,1357420806903,1357421012917,1,-81.41996,26.41858,"{""type"":""Point"",""coordinates"":[-81.41996,26.41858]}"
126,Los Padres Bank,Solvang,California,1282262400000,20100820,Pacific Western Bank,870,190,1357420806903,1357421013566,1,-120.14456,34.59606,"{""type"":""Point"",""coordinates"":[-120.14456,34.59606]}"
127,Barnes Banking Company,Kaysville,Utah,1263513600000,20100115,None (insured depositors paid directly),828,192,1357420806903,1357421014746,1,-111.93748,41.03485,"{""type"":""Point"",""coordinates"":[-111.93748,41.03485]}"
128,First Banking Center,Burlington,Wisconsin,1290124800000,20101119,First Michigan Bank,821,193,1357420806903,1357421015439,1,-88.27696,42.68,"{""type"":""Point"",""coordinates"":[-88.27696,42.68]}"
129,LibertyBank,Eugene,Oregon,1280448000000,20100730,Home Federal Bank,768,194,1357420806903,1357421016270,1,-123.08854,44.04992,"{""type"":""Point"",""coordinates"":[-123.08854,44.04992]}"
130,First National Bank of the South,Spartanburg,South Carolina,1279238400000,20100716,NAFH National Bank,682,196,1357420806903,1357421018009,1,-81.93487,34.94825,"{""type"":""Point"",""coordinates"":[-81.93487,34.94825]}"
131,Peninsula Bank,Englewood,Florida,1277424000000,20100625,"Premier American Bank, N.A.",644,198,1357420806903,1357421019445,1,-82.35316,26.95042,"{""type"":""Point"",""coordinates"":[-82.35316,26.95042]}"
132,Bank of Florida-Southwest,Naples,Florida,1275004800000,20100528,EverBank,641,199,1357420806903,1357421020283,1,-81.79579,26.13909,"{""type"":""Point"",""coordinates"":[-81.79579,26.13909]}"
133,Tamalpais Bank,San Rafael,California,1271376000000,20100416,"Union Bank, N.A.",629,200,1357420806903,1357421021252,1,-122.53247,37.97457,"{""type"":""Point"",""coordinates"":[-122.53247,37.97457]}"
134,Beach First National Bank,Myrtle Beach,South Carolina,1270771200000,20100409,Bank of North Carolina,585,202,1357420806903,1357421023014,1,-78.88266,33.69356,"{""type"":""Point"",""coordinates"":[-78.88266,33.69356]}"
135,Home National Bank,Blackwell,Oklahoma,1278633600000,20100709,RCB Bank,561,203,1357420806903,1357421023860,1,-97.28298,36.80481,"{""type"":""Point"",""coordinates"":[-97.28298,36.80481]}"
136,Sun American Bank,Boca Raton,Florida,1267747200000,20100305,First-Citizens Bank and Trust Company,536,205,1357420806903,1357421030058,1,-80089,26.35049,"{""type"":""Point"",""coordinates"":[-80.089,26.35049]}"
137,The Cowlitz Bank,Longview,Washington,1280448000000,20100730,Heritage Bank,529,206,1357420806903,1357421030858,1,-122.95054,46.14681,"{""type"":""Point"",""coordinates"":[-122.95054,46.14681]}"
